Репликација (индекс);Временски интервал;Аеродром → град;Град → аеродром;Укупно
0;30.07. 20:00–21:00;0;0;0
1;30.07. 20:00–21:00;0;0;0
2;30.07. 20:00–21:00;0;0;0
3;30.07. 20:00–21:00;0;0;0
4;30.07. 20:00–21:00;0;0;0
5;30.07. 20:00–21:00;0;0;0
6;30.07. 20:00–21:00;0;0;0
7;30.07. 20:00–21:00;0;0;0
8;30.07. 20:00–21:00;0;0;0
9;30.07. 20:00–21:00;0;0;0
10;30.07. 20:00–21:00;0;0;0
11;30.07. 20:00–21:00;0;0;0
12;30.07. 20:00–21:00;0;0;0
13;30.07. 20:00–21:00;0;0;0
14;30.07. 20:00–21:00;0;0;0
15;30.07. 20:00–21:00;0;0;0
16;30.07. 20:00–21:00;0;0;0
17;30.07. 20:00–21:00;0;0;0
18;30.07. 20:00–21:00;0;0;0
19;30.07. 20:00–21:00;0;0;0
20;30.07. 20:00–21:00;0;0;0
21;30.07. 20:00–21:00;0;0;0
22;30.07. 20:00–21:00;0;0;0
23;30.07. 20:00–21:00;0;0;0
24;30.07. 20:00–21:00;0;1;1
25;30.07. 20:00–21:00;0;1;1
26;30.07. 20:00–21:00;0;0;0
27;30.07. 20:00–21:00;0;0;0
28;30.07. 20:00–21:00;0;0;0
29;30.07. 20:00–21:00;0;0;0
30;30.07. 20:00–21:00;0;0;0
31;30.07. 20:00–21:00;0;1;1
32;30.07. 20:00–21:00;0;0;0
33;30.07. 20:00–21:00;0;0;0
34;30.07. 20:00–21:00;0;0;0
35;30.07. 20:00–21:00;0;1;1
36;30.07. 20:00–21:00;0;0;0
37;30.07. 20:00–21:00;0;0;0
38;30.07. 20:00–21:00;0;0;0
39;30.07. 20:00–21:00;0;0;0
40;30.07. 20:00–21:00;0;0;0
41;30.07. 20:00–21:00;0;0;0
42;30.07. 20:00–21:00;0;0;0
43;30.07. 20:00–21:00;0;0;0
44;30.07. 20:00–21:00;0;0;0
45;30.07. 20:00–21:00;0;1;1
46;30.07. 20:00–21:00;0;0;0
47;30.07. 20:00–21:00;0;0;0
48;30.07. 20:00–21:00;0;0;0
49;30.07. 20:00–21:00;0;1;1
50;30.07. 20:00–21:00;0;0;0
51;30.07. 20:00–21:00;0;1;1
52;30.07. 20:00–21:00;0;1;1
53;30.07. 20:00–21:00;0;0;0
54;30.07. 20:00–21:00;0;0;0
55;30.07. 20:00–21:00;0;0;0
56;30.07. 20:00–21:00;0;0;0
57;30.07. 20:00–21:00;0;0;0
58;30.07. 20:00–21:00;0;0;0
59;30.07. 20:00–21:00;0;0;0
60;30.07. 20:00–21:00;0;0;0
61;30.07. 20:00–21:00;0;2;2
62;30.07. 20:00–21:00;0;0;0
63;30.07. 20:00–21:00;0;0;0
64;30.07. 20:00–21:00;0;0;0
65;30.07. 20:00–21:00;0;0;0
66;30.07. 20:00–21:00;0;0;0
67;30.07. 20:00–21:00;0;0;0
68;30.07. 20:00–21:00;0;0;0
69;30.07. 20:00–21:00;0;0;0
70;30.07. 20:00–21:00;0;0;0
71;30.07. 20:00–21:00;0;0;0
72;30.07. 20:00–21:00;0;1;1
73;30.07. 20:00–21:00;0;0;0
74;30.07. 20:00–21:00;0;1;1
75;30.07. 20:00–21:00;0;0;0
76;30.07. 20:00–21:00;0;0;0
77;30.07. 20:00–21:00;0;0;0
78;30.07. 20:00–21:00;0;0;0
79;30.07. 20:00–21:00;0;0;0
80;30.07. 20:00–21:00;0;0;0
