Временски интервал;Аеродром → град (просек);Град → аеродром (просек);Укупно (просек);Аеродром → град (збир);Град → аеродром (збир);Број репликација
30.07. 20:00–21:00;0,0;0,14;0,14;0;14;100
30.07. 21:00–22:00;0,0;2,27;2,27;0;227;100
30.07. 22:00–23:00;0,0;2,4;2,4;0;240;100
30.07. 23:00–00:00;0,0;0,13;0,13;0;13;100
31.07. 00:00–01:00;0,89;0,0;0,89;89;0;100
31.07. 01:00–02:00;3,55;1,23;4,78;355;123;100
31.07. 02:00–03:00;2,61;7,36;9,97;261;736;100
31.07. 03:00–04:00;0,0;15,36;15,36;0;1536;100
31.07. 04:00–05:00;0,69;7,79;8,48;69;779;100
31.07. 05:00–06:00;6,13;1,33;7,46;613;133;100
31.07. 06:00–07:00;1,95;3,56;5,51;195;356;100
31.07. 07:00–08:00;0,0;3,55;3,55;0;355;100
31.07. 08:00–09:00;2,59;7,32;9,91;259;732;100
31.07. 09:00–10:00;3,52;11,0;14,52;352;1100;100
31.07. 10:00–11:00;5,17;9,38;14,55;517;938;100
31.07. 11:00–12:00;13,67;4,46;18,13;1367;446;100
31.07. 12:00–13:00;8,35;2,96;11,31;835;296;100
31.07. 13:00–14:00;10,28;5,75;16,03;1028;575;100
31.07. 14:00–15:00;2,01;11,33;13,34;201;1133;100
31.07. 15:00–16:00;3,45;9,78;13,23;345;978;100
31.07. 16:00–17:00;11,29;4,09;15,38;1129;409;100
31.07. 17:00–18:00;10,42;3,51;13,93;1042;351;100
31.07. 18:00–19:00;2,72;4,0;6,72;272;400;100
31.07. 19:00–20:00;2,47;1,15;3,62;247;115;100
31.07. 20:00–21:00;1,95;2,09;4,04;195;209;100
31.07. 21:00–22:00;4,53;0,96;5,49;453;96;100
31.07. 22:00–23:00;8,42;0,0;8,42;842;0;100
31.07. 23:00–00:00;12,66;0,0;12,66;1266;0;100
01.08. 00:00–01:00;1,56;0,0;1,56;156;0;100
