Репликација (индекс);Путник;Авионски лет;Полазиште;Одредиште;Локално време захтева (ISO 8601);Време захтева (s од поноћи);Сат од поноћи
0;SYN2-192-D:P0001;SYN2-192-D;BW;LYBE;2026-07-30T21:05:23.730661+02:00;-10476,269339413662;-3
0;SYN2-343-D:P0001;SYN2-343-D;BW;LYBE;2026-07-30T21:30:05.699770+02:00;-8994,300230493682;-3
0;SYN2-193-D:P0001;SYN2-193-D;LYBV;LYBE;2026-07-30T21:48:52.122142+02:00;-7867,877857624137;-3
0;SYN2-190-D:P0001;SYN2-190-D;BW;LYBE;2026-07-30T22:05:52.920429+02:00;-6847,079570779751;-2
0;SYN2-197-D:P0003;SYN2-197-D;EXPO;LYBE;2026-07-30T22:06:43.185421+02:00;-6796,814578951901;-2
0;SYN2-342-D:P0002;SYN2-342-D;BW;LYBE;2026-07-30T22:09:36.842167+02:00;-6623,157832970343;-2
0;SYN2-342-D:P0001;SYN2-342-D;BW;LYBE;2026-07-30T22:15:26.240667+02:00;-6273,75933252657;-2
0;SYN2-197-D:P0002;SYN2-197-D;BW;LYBE;2026-07-30T22:25:02.643853+02:00;-5697,356146532356;-2
0;SYN2-197-D:P0001;SYN2-197-D;BW;LYBE;2026-07-30T22:31:27.237029+02:00;-5312,762971047229;-2
0;SYN2-194-D:P0001;SYN2-194-D;EXPO;LYBE;2026-07-30T22:40:44.669059+02:00;-4755,330940561123;-2
0;SYN2-195-D:P0001;SYN2-195-D;JUG;LYBE;2026-07-30T22:43:53.818255+02:00;-4566,181744557622;-2
0;SYN2-002-A:P0001;SYN2-002-A;LYBE;EXPO;2026-07-31T01:41:35.428099+02:00;6095,428099285272;1
0;SYN2-003-A:P0002;SYN2-003-A;LYBE;BW;2026-07-31T01:44:37.665324+02:00;6277,665323532941;1
0;SYN2-003-A:P0001;SYN2-003-A;LYBE;LYBV;2026-07-31T01:56:16.813593+02:00;6976,813593248996;1
0;SYN2-345-D:P0003;SYN2-345-D;LYBV;LYBE;2026-07-31T02:06:29.932944+02:00;7589,9329442891485;2
0;SYN2-201-D:P0001;SYN2-201-D;DOR;LYBE;2026-07-31T02:14:49.209775+02:00;8089,2097747251555;2
0;SYN2-345-D:P0001;SYN2-345-D;JUG;LYBE;2026-07-31T02:20:18.268381+02:00;8418,268381141666;2
0;SYN2-006-A:P0001;SYN2-006-A;LYBE;BW;2026-07-31T02:27:11.779029+02:00;8831,77902909776;2
0;SYN2-220-D:P0002;SYN2-220-D;LYBV;LYBE;2026-07-31T02:31:35.093147+02:00;9095,093146521776;2
0;SYN2-345-D:P0002;SYN2-345-D;BW;LYBE;2026-07-31T02:36:31.172642+02:00;9391,172641669054;2
0;SYN2-206-D:P0001;SYN2-206-D;DOR;LYBE;2026-07-31T02:37:27.262963+02:00;9447,26296300275;2
0;SYN2-344-D:P0001;SYN2-344-D;LYBV;LYBE;2026-07-31T02:41:38.944930+02:00;9698,944929701136;2
0;SYN2-220-D:P0001;SYN2-220-D;JUG;LYBE;2026-07-31T02:49:37.393258+02:00;10177,39325766277;2
0;SYN2-203-D:P0001;SYN2-203-D;BW;LYBE;2026-07-31T02:51:01.937961+02:00;10261,937961304033;2
0;SYN2-200-D:P0001;SYN2-200-D;LYBV;LYBE;2026-07-31T02:59:30.768829+02:00;10770,76882854983;2
0;SYN2-348-D:P0001;SYN2-348-D;BW;LYBE;2026-07-31T03:02:00.566176+02:00;10920,566175545653;3
0;SYN2-210-D:P0001;SYN2-210-D;BW;LYBE;2026-07-31T03:05:15.937363+02:00;11115,937362751993;3
0;SYN2-351-D:P0002;SYN2-351-D;DOR;LYBE;2026-07-31T03:23:12.995410+02:00;12192,99541038633;3
0;SYN2-226-D:P0001;SYN2-226-D;JUG;LYBE;2026-07-31T03:28:14.406691+02:00;12494,406691386523;3
0;SYN2-202-D:P0001;SYN2-202-D;DOR;LYBE;2026-07-31T03:36:49.984685+02:00;13009,984685464926;3
0;SYN2-217-D:P0001;SYN2-217-D;LYBV;LYBE;2026-07-31T03:44:00.641101+02:00;13440,641101028112;3
0;SYN2-211-D:P0001;SYN2-211-D;BW;LYBE;2026-07-31T03:51:49.071346+02:00;13909,071346268516;3
0;SYN2-214-D:P0002;SYN2-214-D;LYBV;LYBE;2026-07-31T03:54:43.208331+02:00;14083,208330879826;3
0;SYN2-349-D:P0001;SYN2-349-D;LYBV;LYBE;2026-07-31T03:56:03.040714+02:00;14163,040714364806;3
0;SYN2-235-D:P0001;SYN2-235-D;LYBV;LYBE;2026-07-31T04:08:33.918401+02:00;14913,918401359026;4
0;SYN2-351-D:P0001;SYN2-351-D;DOR;LYBE;2026-07-31T04:09:33.006634+02:00;14973,006634478768;4
0;SYN2-216-D:P0001;SYN2-216-D;BW;LYBE;2026-07-31T04:10:03.522600+02:00;15003,522600469383;4
0;SYN2-233-D:P0001;SYN2-233-D;BW;LYBE;2026-07-31T04:17:51.772091+02:00;15471,77209070688;4
0;SYN2-232-D:P0001;SYN2-232-D;JUG;LYBE;2026-07-31T04:20:53.489403+02:00;15653,48940284651;4
0;SYN2-234-D:P0001;SYN2-234-D;JUG;LYBE;2026-07-31T04:25:37.161489+02:00;15937,161488559683;4
0;SYN2-231-D:P0001;SYN2-231-D;JUG;LYBE;2026-07-31T04:30:10.489997+02:00;16210,489996684802;4
0;SYN2-214-D:P0001;SYN2-214-D;JUG;LYBE;2026-07-31T04:37:21.535115+02:00;16641,53511457393;4
0;SYN2-234-D:P0002;SYN2-234-D;JUG;LYBE;2026-07-31T04:53:40.824250+02:00;17620,824249839374;4
0;SYN2-009-A:P0001;SYN2-009-A;LYBE;LYBV;2026-07-31T05:37:57.803210+02:00;20277,80321043103;5
0;SYN2-010-A:P0001;SYN2-010-A;LYBE;BW;2026-07-31T05:42:34.437457+02:00;20554,437456960703;5
0;SYN2-015-A:P0001;SYN2-015-A;LYBE;EXPO;2026-07-31T05:42:42.003095+02:00;20562,003095445805;5
0;SYN2-017-A:P0002;SYN2-017-A;LYBE;DOR;2026-07-31T05:44:10.408268+02:00;20650,408268370757;5
