scenario,fleet_size,stage,scope,causes,metric,n,mean,std,ci_low,ci_high,confidence
low,4,after_boarding,committed_flight,battery_after_repositioning,exposed_passengers,2,45.5,9.192388155425117,-37.090330785135265,128.09033078513528,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,extra_after_boarding_passenger_minutes,2,135.68389512293294,28.676167529128403,-121.96124799288674,393.3290382387526,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,fraction_of_late_passengers_exposed,2,0.41692307692307695,0.19363847238646995,-1.3228495715685302,2.156695725414684,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,late_passengers_exposed,2,25.0,15.556349186104045,-114.76825209792122,164.76825209792122,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,observed_passenger_minutes,2,135.68389512293294,28.676167529128403,-121.96124799288674,393.3290382387526,0.95
low,4,after_boarding,committed_flight,battery_after_repositioning,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,battery_at_origin,exposed_passengers,2,4.5,2.1213203435596424,-14.559307104261986,23.559307104261986,0.95
low,4,after_boarding,committed_flight,battery_at_origin,extra_after_boarding_passenger_minutes,2,7.180531884919461,0.15500934104356318,5.7878282114983,8.57323555834062,0.95
low,4,after_boarding,committed_flight,battery_at_origin,fraction_of_late_passengers_exposed,2,0.06846153846153846,0.01196642245084927,-0.03905250161378561,0.17597557853686252,0.95
low,4,after_boarding,committed_flight,battery_at_origin,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,battery_at_origin,late_passengers_exposed,2,4.0,1.4142135623730951,-8.706204736174659,16.70620473617466,0.95
low,4,after_boarding,committed_flight,battery_at_origin,observed_passenger_minutes,2,7.180531884919461,0.15500934104356318,5.7878282114983,8.57323555834062,0.95
low,4,after_boarding,committed_flight,battery_at_origin,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,destination_tlof,exposed_passengers,2,3.5,0.7071067811865476,-2.8531023680873293,9.85310236808733,0.95
low,4,after_boarding,committed_flight,destination_tlof,extra_after_boarding_passenger_minutes,2,3.471843088930215,0.14265424615272054,2.190145538908468,4.7535406389519625,0.95
low,4,after_boarding,committed_flight,destination_tlof,fraction_of_late_passengers_exposed,2,0.02,0.0282842712474619,-0.23412409472349313,0.27412409472349314,0.95
low,4,after_boarding,committed_flight,destination_tlof,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,destination_tlof,late_passengers_exposed,2,1.0,1.4142135623730951,-11.706204736174659,13.706204736174659,0.95
low,4,after_boarding,committed_flight,destination_tlof,observed_passenger_minutes,2,3.471843088930215,0.14265424615272054,2.190145538908468,4.7535406389519625,0.95
low,4,after_boarding,committed_flight,destination_tlof,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,origin_tlof,exposed_passengers,2,17.0,2.8284271247461903,-8.412409472349317,42.41240947234932,0.95
low,4,after_boarding,committed_flight,origin_tlof,extra_after_boarding_passenger_minutes,2,17.653967243558238,9.630987088648345,-68.8770186101443,104.18495309726079,0.95
low,4,after_boarding,committed_flight,origin_tlof,fraction_of_late_passengers_exposed,2,0.05307692307692308,0.009790709277967578,-0.03488910971197837,0.14104295586582452,0.95
low,4,after_boarding,committed_flight,origin_tlof,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,after_boarding,committed_flight,origin_tlof,late_passengers_exposed,2,3.0,0.0,3.0,3.0,0.95
low,4,after_boarding,committed_flight,origin_tlof,observed_passenger_minutes,2,17.653967243558238,9.630987088648345,-68.8770186101443,104.18495309726079,0.95
low,4,after_boarding,committed_flight,origin_tlof,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,exposed_passengers,2,0.5,0.7071067811865476,-5.853102368087329,6.853102368087329,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,fraction_of_late_passengers_exposed,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,late_passengers_exposed,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,observed_passenger_minutes,2,0.2761229652824113,0.3904968423850613,-3.2323519639555536,3.784597894520376,0.95
low,4,before_boarding,candidate_set,destination_stand|group_formation|priority_other_group,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,exposed_passengers,2,12.5,3.5355339059327378,-19.26551184043665,44.265511840436645,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,fraction_of_late_passengers_exposed,2,0.2053846153846154,0.03589926735254781,-0.11715750484135679,0.5279267356105876,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,late_passengers_exposed,2,12.0,4.242640687119285,-26.118614208523972,50.11861420852397,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,observed_passenger_minutes,2,92.03489233406574,24.773420718078224,-130.54546188845254,314.615246556584,0.95
low,4,before_boarding,candidate_set,group_formation|priority_other_group,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,priority_other_group,exposed_passengers,2,5.5,4.949747468305833,-38.97171657661131,49.97171657661131,0.95
low,4,before_boarding,candidate_set,priority_other_group,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,candidate_set,priority_other_group,fraction_of_late_passengers_exposed,2,0.08923076923076924,0.06962282153221391,-0.5363054639347524,0.7147670023962909,0.95
low,4,before_boarding,candidate_set,priority_other_group,late_passengers_blocked_after_limit,2,5.0,4.242640687119285,-33.11861420852397,43.11861420852397,0.95
low,4,before_boarding,candidate_set,priority_other_group,late_passengers_exposed,2,5.5,4.949747468305833,-38.97171657661131,49.97171657661131,0.95
low,4,before_boarding,candidate_set,priority_other_group,observed_passenger_minutes,2,61.425102428908865,26.748062635272646,-178.89670552313143,301.74691038094915,0.95
low,4,before_boarding,candidate_set,priority_other_group,overdue_passenger_minutes,2,57.8399403732849,21.677877832903825,-136.92806448763247,252.60794523420225,0.95
low,4,before_boarding,selected_plan,aircraft_busy,exposed_passengers,2,30.5,0.7071067811865476,24.146897631912672,36.85310236808733,0.95
low,4,before_boarding,selected_plan,aircraft_busy,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,aircraft_busy,fraction_of_late_passengers_exposed,2,0.4123076923076923,0.03916283711187031,0.060443561152086545,0.7641718234632981,0.95
low,4,before_boarding,selected_plan,aircraft_busy,late_passengers_blocked_after_limit,2,21.0,1.4142135623730951,8.293795263825341,33.706204736174655,0.95
low,4,before_boarding,selected_plan,aircraft_busy,late_passengers_exposed,2,23.5,2.1213203435596424,4.440692895738014,42.55930710426199,0.95
low,4,before_boarding,selected_plan,aircraft_busy,observed_passenger_minutes,2,357.31816332018417,176.77422279757963,-1230.9352141789852,1945.5715408193535,0.95
low,4,before_boarding,selected_plan,aircraft_busy,overdue_passenger_minutes,2,275.63106377184454,103.2663211894003,-652.1800209856143,1203.4421485293033,0.95
low,4,before_boarding,selected_plan,aircraft_busy|group_formation,exposed_passengers,2,107.0,8.48528137423857,30.762771582952055,183.23722841704796,0.95
