scenario,fleet_size,request_hour_local,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,boarded_passengers,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,completed_journeys,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,extra_after_boarding_min_max,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,extra_after_boarding_min_mean,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,extra_after_boarding_min_p95,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,fraction_boarding_within_wait_limit,2,1.0,0.0,1.0,1.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,generated_passengers,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,journey_duration_min_max,2,37.90033361153257,0.44977166798051665,33.85929550389241,41.94137171917272,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,journey_duration_min_mean,2,37.74408783963522,0.6707365576611967,31.717758965105737,43.7704167141647,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,journey_duration_min_p95,2,37.88470903434283,0.47186815694858264,33.645141850013765,42.1242762186719,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,on_time_passengers,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,wait_to_boarding_min_max,2,15.0,0.0,15.0,15.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,wait_to_boarding_min_mean,2,15.0,0.0,15.0,15.0,0.95
low,4,2026-07-30T21:00:00+02:00,BW,LYBE,wait_to_boarding_min_p95,2,15.0,0.0,15.0,15.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,boarded_passengers,2,1.0,0.0,1.0,1.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,completed_journeys,2,1.0,0.0,1.0,1.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,extra_after_boarding_min_max,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,extra_after_boarding_min_mean,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,extra_after_boarding_min_p95,2,0.0,0.0,0.0,0.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,fraction_boarding_within_wait_limit,2,1.0,0.0,1.0,1.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,generated_passengers,2,1.0,0.0,1.0,1.0,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,journey_duration_min_max,2,38.993863149712375,0.8883045156608027,31.012763728550894,46.974962570873856,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,journey_duration_min_mean,2,38.993863149712375,0.8883045156608027,31.012763728550894,46.974962570873856,0.95
low,4,2026-07-30T21:00:00+02:00,LYBV,LYBE,journey_duration_min_p95,2,38.993863149712375,0.8883045156608027,31.012763728550894,46.974962570873856,0.95
