scenario,fleet_size,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,BW,LYBE,boarded_passengers,2,41.5,3.5355339059327378,9.734488159563352,73.26551184043664,0.95
low,4,BW,LYBE,completed_journeys,2,41.5,3.5355339059327378,9.734488159563352,73.26551184043664,0.95
low,4,BW,LYBE,extra_after_boarding_min_max,2,2.644127149088975,0.735640712625234,-3.965342421544155,9.253596719722104,0.95
low,4,BW,LYBE,extra_after_boarding_min_mean,2,0.28312101096843917,0.06054779849857185,-0.2608793751942687,0.8271213971311471,0.95
low,4,BW,LYBE,extra_after_boarding_min_p95,2,1.66679747081035,0.6443982736721466,-4.122891310830466,7.456486252451166,0.95
low,4,BW,LYBE,fraction_boarding_within_wait_limit,2,0.8149766899766899,0.10095638775682057,-0.0920804663061745,1.7220338462595544,0.95
low,4,BW,LYBE,generated_passengers,2,41.5,3.5355339059327378,9.734488159563352,73.26551184043664,0.95
low,4,BW,LYBE,journey_duration_min_max,2,92.80647776933986,43.41873163888997,-297.29534862172625,482.90830416040603,0.95
low,4,BW,LYBE,journey_duration_min_mean,2,41.34910134516096,4.344033461262356,2.3195092042314087,80.37869348609051,0.95
low,4,BW,LYBE,journey_duration_min_p95,2,68.32417414517593,32.64687943703945,-224.99640003186428,361.6447483222162,0.95
low,4,BW,LYBE,on_time_passengers,2,34.0,7.0710678118654755,-29.531023680873297,97.53102368087329,0.95
low,4,BW,LYBE,wait_to_boarding_min_max,2,67.48211250792144,40.652797326606574,-297.7687800540915,432.7330050699344,0.95
low,4,BW,LYBE,wait_to_boarding_min_mean,2,16.241516745189518,3.8840011011684696,-18.654848627068684,51.13788211744772,0.95
low,4,BW,LYBE,wait_to_boarding_min_p95,2,40.15112246699111,30.185801612888216,-231.05754475530938,311.35978968929163,0.95
low,4,DOR,LYBE,boarded_passengers,2,18.5,3.5355339059327378,-13.265511840436648,50.265511840436645,0.95
low,4,DOR,LYBE,completed_journeys,2,18.5,3.5355339059327378,-13.265511840436648,50.265511840436645,0.95
low,4,DOR,LYBE,extra_after_boarding_min_max,2,5.821957349999927,0.2904233284167941,3.2126072707708455,8.431307429229008,0.95
low,4,DOR,LYBE,extra_after_boarding_min_mean,2,0.7762576150512034,0.20134668729073274,-1.0327705966239766,2.5852858267263836,0.95
low,4,DOR,LYBE,extra_after_boarding_min_p95,2,3.299452755179648,0.3184593236562545,0.438209252656538,6.160696257702758,0.95
low,4,DOR,LYBE,fraction_boarding_within_wait_limit,2,0.7321428571428572,0.025253813613805257,0.5052463439968813,0.9590393702888331,0.95
low,4,DOR,LYBE,generated_passengers,2,18.5,3.5355339059327378,-13.265511840436648,50.265511840436645,0.95
low,4,DOR,LYBE,journey_duration_min_max,2,81.43470937322581,19.10865804991656,-90.24977158194775,253.11919032839938,0.95
low,4,DOR,LYBE,journey_duration_min_mean,2,42.37505928142803,1.5319273645667597,28.611237993735905,56.138880569120154,0.95
low,4,DOR,LYBE,journey_duration_min_p95,2,58.518166690762094,5.911725215408256,5.4034229706289025,111.63291041089528,0.95
low,4,DOR,LYBE,on_time_passengers,2,13.5,2.1213203435596424,-5.559307104261986,32.55930710426199,0.95
low,4,DOR,LYBE,wait_to_boarding_min_max,2,55.278461585371225,17.39446370415127,-101.00459422837062,211.56151739911306,0.95
low,4,DOR,LYBE,wait_to_boarding_min_mean,2,16.26799703328266,2.1745760349271257,-3.2697934739713617,35.805787540536684,0.95
low,4,DOR,LYBE,wait_to_boarding_min_p95,2,32.06897299357349,5.324277204883514,-15.767759758357244,79.90570574550422,0.95
low,4,EXPO,LYBE,boarded_passengers,2,6.0,1.4142135623730951,-6.706204736174659,18.70620473617466,0.95
low,4,EXPO,LYBE,completed_journeys,2,6.0,1.4142135623730951,-6.706204736174659,18.70620473617466,0.95
low,4,EXPO,LYBE,extra_after_boarding_min_max,2,0.4038518923476052,0.5711328233480224,-4.727572934912634,5.535276719607844,0.95
low,4,EXPO,LYBE,extra_after_boarding_min_mean,2,0.16154075693904207,0.22845312933920897,-1.8910291739650535,2.214110687843138,0.95
low,4,EXPO,LYBE,extra_after_boarding_min_p95,2,0.4038518923476052,0.5711328233480224,-4.727572934912634,5.535276719607844,0.95
low,4,EXPO,LYBE,fraction_boarding_within_wait_limit,2,0.8285714285714285,0.040406101782088366,0.4655370075378674,1.1916058496049895,0.95
low,4,EXPO,LYBE,generated_passengers,2,6.0,1.4142135623730951,-6.706204736174659,18.70620473617466,0.95
low,4,EXPO,LYBE,journey_duration_min_max,2,99.5788986172507,72.15492542765769,-548.7073854350592,747.8651826695607,0.95
low,4,EXPO,LYBE,journey_duration_min_mean,2,44.174168199095945,10.36598421852602,-48.9605048636695,137.3088412618614,0.95
low,4,EXPO,LYBE,journey_duration_min_p95,2,81.37893967295653,49.32788669299196,-361.8145384550859,524.572417800999,0.95
low,4,EXPO,LYBE,on_time_passengers,2,5.0,1.4142135623730951,-7.706204736174659,17.70620473617466,0.95
low,4,EXPO,LYBE,wait_to_boarding_min_max,2,79.50759185694957,73.01970744270115,-576.5484503334915,735.5636340473907,0.95
low,4,EXPO,LYBE,wait_to_boarding_min_mean,2,23.58039178254931,11.329381959619457,-78.21006656356501,125.37085012866363,0.95
low,4,EXPO,LYBE,wait_to_boarding_min_p95,2,60.79905737806254,50.203405018019495,-390.2606408061681,511.85875556229325,0.95
low,4,JUG,LYBE,boarded_passengers,2,22.0,4.242640687119285,-16.118614208523972,60.11861420852397,0.95
low,4,JUG,LYBE,completed_journeys,2,22.0,4.242640687119285,-16.118614208523972,60.11861420852397,0.95
low,4,JUG,LYBE,extra_after_boarding_min_max,2,5.362807647981118,0.7521096043078278,-1.3946290437887807,12.120244339751016,0.95
low,4,JUG,LYBE,extra_after_boarding_min_mean,2,0.761859869921633,0.23799338635788558,-1.3764258694998273,2.9001456093430935,0.95
low,4,JUG,LYBE,extra_after_boarding_min_p95,2,3.291763471577662,1.913241413885128,-13.898028623019213,20.481555566174535,0.95
low,4,JUG,LYBE,fraction_boarding_within_wait_limit,2,0.6821052631578948,0.0029772917102591254,0.6553553584501588,0.7088551678656307,0.95
low,4,JUG,LYBE,generated_passengers,2,22.0,4.242640687119285,-16.118614208523972,60.11861420852397,0.95
low,4,JUG,LYBE,journey_duration_min_max,2,69.00322951395597,21.46657143721335,-123.8662627056309,261.87272173354285,0.95
low,4,JUG,LYBE,journey_duration_min_mean,2,42.864644508007814,2.214319591466388,22.969772312550905,62.759516703464726,0.95
low,4,JUG,LYBE,journey_duration_min_p95,2,63.76237714362422,20.516554297491716,-120.5715497261845,248.09630401343293,0.95
low,4,JUG,LYBE,on_time_passengers,2,15.0,2.8284271247461903,-10.412409472349317,40.41240947234932,0.95
low,4,JUG,LYBE,wait_to_boarding_min_max,2,39.398803405662086,23.051853376675307,-167.71388193785668,246.51148874918084,0.95
