vertiport,resource_kind,capacity,busy_unit_minutes,observed_minutes,utilization,fully_occupied_minutes,peak_occupied_units
LYBE,stand,6,3101.837293958952,1659.7562435257128,0.3114751845899492,0.0,4
LYBE,movement,1,193.66666666666666,1659.7562435257128,0.1166838006617605,193.66666666666666,1
LYBE,charger,6,2047.1033975607602,1659.7562435257128,0.2055626547116974,0.0,4
LYBE,cleaner,1,130.0,1659.7562435257128,0.0783247543168444,130.0,1
EXPO,stand,2,262.37556237383006,1659.7562435257128,0.07904039023720816,0.0,1
EXPO,movement,1,25.0,1659.7562435257128,0.015062452753239306,25.0,1
EXPO,charger,2,170.08342792277134,1659.7562435257128,0.05123747194391452,0.0,1
EXPO,cleaner,1,10.0,1659.7562435257128,0.006024981101295722,10.0,1
BW,stand,4,682.2466977139304,1659.7562435257128,0.10276308650369616,0.0,2
BW,movement,1,71.66666666666667,1659.7562435257128,0.04317903122595268,71.66666666666667,1
BW,charger,4,507.21902209470426,1659.7562435257128,0.07639962555845727,0.0,2
BW,cleaner,1,30.0,1659.7562435257128,0.01807494330388717,30.0,1
JUG,stand,2,364.7736652000788,1659.7562435257128,0.10988772195404241,19.569723628395028,2
JUG,movement,1,52.0,1659.7562435257128,0.031329901726737754,52.0,1
JUG,charger,2,302.7736652000788,1659.7562435257128,0.09121028054002567,13.6324115435839,2
JUG,cleaner,1,10.0,1659.7562435257128,0.006024981101295722,10.0,1
DOR,stand,2,276.6439845383918,1659.7562435257128,0.08333873893154783,0.0,1
DOR,movement,1,38.3333333333333,1659.7562435257128,0.023095760888300253,38.3333333333333,1
DOR,charger,2,230.64398453839183,1659.7562435257128,0.06948128239856767,0.0,1
DOR,cleaner,1,30.0,1659.7562435257128,0.01807494330388717,30.0,1
LYBV,stand,2,431.30713945100183,1659.7562435257128,0.12993086820231023,2.9445193840025543,2
LYBV,movement,1,46.0,1659.7562435257128,0.027714913065960325,46.0,1
LYBV,charger,2,314.7118553336673,1659.7562435257128,0.09480664903695293,0.9445193840025543,2
LYBV,cleaner,1,30.0,1659.7562435257128,0.01807494330388717,30.0,1
