start_s,end_s,aircraft_id,activity,charging,location,flight_id,operation
-8589.685791410968,-7310.093753386209,EVTOL_001,idle,False,LYBE,,
-8589.685791410968,4038.008824710608,EVTOL_002,idle,False,LYBE,,
-8589.685791410968,4038.008824710608,EVTOL_003,idle,False,LYBE,,
-8589.685791410968,-7689.685791410968,EVTOL_004,idle,False,BW,,
-7689.685791410968,-7494.685791410968,EVTOL_004,boarding,False,BW,F000001,passenger
-7494.685791410968,-7434.685791410968,EVTOL_004,departure_finalization,False,BW,F000001,passenger
-7434.685791410968,-7394.685791410968,EVTOL_004,takeoff,False,,F000001,passenger
-7394.685791410968,-7169.849969410968,EVTOL_004,cruise,False,,F000001,passenger
-7310.093753386209,-7250.093753386209,EVTOL_001,departure_finalization,False,LYBE,F000002,repositioning
-7250.093753386209,-7210.093753386209,EVTOL_001,takeoff,False,,F000002,repositioning
-7210.093753386209,-6873.645565386209,EVTOL_001,cruise,False,,F000002,repositioning
-7169.849969410968,-7109.849969410968,EVTOL_004,landing,False,,F000001,passenger
-7109.849969410968,-7049.849969410968,EVTOL_004,disembarking,False,LYBE,F000001,passenger
-7049.849969410968,-6983.849969410968,EVTOL_004,disembarking,True,LYBE,F000001,passenger
-6983.849969410968,-3755.7361887123207,EVTOL_004,idle,True,LYBE,,
-6873.645565386209,-6813.645565386209,EVTOL_001,landing,False,,F000002,repositioning
-6813.645565386209,-6753.645565386209,EVTOL_001,idle,False,LYBV,,
-6753.645565386209,-6410.093753386209,EVTOL_001,idle,True,LYBV,,
-6410.093753386209,-6215.093753386209,EVTOL_001,boarding,True,LYBV,F000003,passenger
-6215.093753386209,-6155.093753386209,EVTOL_001,departure_finalization,False,LYBV,F000003,passenger
-6155.093753386209,-6115.093753386209,EVTOL_001,takeoff,False,,F000003,passenger
-6115.093753386209,-5778.645565386209,EVTOL_001,cruise,False,,F000003,passenger
-5778.645565386209,-5718.645565386209,EVTOL_001,landing,False,,F000003,passenger
-5718.645565386209,-5658.645565386209,EVTOL_001,disembarking,False,LYBE,F000003,passenger
-5658.645565386209,-5592.645565386209,EVTOL_001,disembarking,True,LYBE,F000003,passenger
-5592.645565386209,-4129.214763538449,EVTOL_001,idle,True,LYBE,,
-4129.214763538449,-4069.214763538449,EVTOL_001,departure_finalization,False,LYBE,F000004,repositioning
-4069.214763538449,-4029.214763538449,EVTOL_001,takeoff,False,,F000004,repositioning
-4029.214763538449,-3711.412451538449,EVTOL_001,cruise,False,,F000004,repositioning
-3755.7361887123207,4038.008824710608,EVTOL_004,idle,False,LYBE,,
-3711.412451538449,-3651.412451538449,EVTOL_001,landing,False,,F000004,repositioning
-3651.412451538449,-3591.412451538449,EVTOL_001,idle,False,JUG,,
-3591.412451538449,-3229.214763538449,EVTOL_001,idle,True,JUG,,
-3229.214763538449,-3034.214763538449,EVTOL_001,boarding,True,JUG,F000005,passenger
-3034.214763538449,-2974.214763538449,EVTOL_001,departure_finalization,False,JUG,F000005,passenger
-2974.214763538449,-2934.214763538449,EVTOL_001,takeoff,False,,F000005,passenger
-2934.214763538449,-2616.412451538449,EVTOL_001,cruise,False,,F000005,passenger
-2616.412451538449,-2556.412451538449,EVTOL_001,landing,False,,F000005,passenger
-2556.412451538449,-2496.412451538449,EVTOL_001,disembarking,False,LYBE,F000005,passenger
-2496.412451538449,-2430.412451538449,EVTOL_001,disembarking,True,LYBE,F000005,passenger
-2430.412451538449,1837.221177004587,EVTOL_001,idle,True,LYBE,,
1837.221177004587,3843.008824710608,EVTOL_001,idle,False,LYBE,,
3843.008824710608,4038.008824710608,EVTOL_001,boarding,False,LYBE,F000006,passenger
4038.0088247106087,4098.008824710609,EVTOL_001,departure_finalization,False,LYBE,F000006,passenger
4038.0088247106087,4974.571455082855,EVTOL_002,idle,False,LYBE,,
4038.0088247106087,6655.868405199968,EVTOL_003,idle,False,LYBE,,
4038.0088247106087,7070.032260558674,EVTOL_004,idle,False,LYBE,,
4098.008824710609,4138.008824710609,EVTOL_001,takeoff,False,,F000006,passenger
4138.008824710609,4362.844646710609,EVTOL_001,cruise,False,,F000006,passenger
4362.844646710609,4422.844646710609,EVTOL_001,landing,False,,F000006,passenger
4422.844646710609,4482.844646710609,EVTOL_001,disembarking,False,BW,F000006,passenger
4482.844646710609,4548.844646710609,EVTOL_001,disembarking,True,BW,F000006,passenger
4548.844646710609,6912.3373125306525,EVTOL_001,idle,True,BW,,
4974.571455082855,5169.571455082855,EVTOL_002,boarding,False,LYBE,F000007,passenger
5169.571455082855,5229.571455082855,EVTOL_002,departure_finalization,False,LYBE,F000007,passenger
5229.571455082855,5269.571455082855,EVTOL_002,takeoff,False,,F000007,passenger
5269.571455082855,5597.371669082855,EVTOL_002,cruise,False,,F000007,passenger
5597.371669082855,5657.371669082855,EVTOL_002,landing,False,,F000007,passenger
5657.371669082855,5717.371669082855,EVTOL_002,disembarking,False,DOR,F000007,passenger
5717.371669082855,5783.371669082855,EVTOL_002,disembarking,True,DOR,F000007,passenger
5783.371669082855,8244.532563914503,EVTOL_002,idle,True,DOR,,
6655.868405199968,6850.868405199968,EVTOL_003,boarding,False,LYBE,F000008,passenger
6850.868405199968,6910.868405199968,EVTOL_003,departure_finalization,False,LYBE,F000008,passenger
6910.868405199968,6950.868405199968,EVTOL_003,takeoff,False,,F000008,passenger
6912.3373125306525,6972.3373125306525,EVTOL_001,departure_finalization,False,BW,F000009,repositioning
6950.868405199968,7175.704227199968,EVTOL_003,cruise,False,,F000008,passenger
6972.3373125306525,7012.3373125306525,EVTOL_001,takeoff,False,,F000009,repositioning
7012.3373125306525,7237.1731345306525,EVTOL_001,cruise,False,,F000009,repositioning
7070.032260558674,7265.032260558674,EVTOL_004,boarding,False,LYBE,F000010,passenger
7175.704227199968,7235.704227199968,EVTOL_003,landing,False,,F000008,passenger
7235.704227199968,7295.704227199968,EVTOL_003,disembarking,False,BW,F000008,passenger
7237.1731345306525,7297.1731345306525,EVTOL_001,landing,False,,F000009,repositioning
7265.032260558674,7325.032260558674,EVTOL_004,departure_finalization,False,LYBE,F000010,passenger
7295.704227199968,7361.704227199968,EVTOL_003,disembarking,True,BW,F000008,passenger
7297.1731345306525,7357.1731345306525,EVTOL_001,idle,False,LYBE,,
7325.032260558674,7365.032260558674,EVTOL_004,takeoff,False,,F000010,passenger
7357.1731345306525,7812.3373125306525,EVTOL_001,idle,True,LYBE,,
7361.704227199968,7593.337270162404,EVTOL_003,idle,True,BW,,
7365.032260558674,7701.480448558675,EVTOL_004,cruise,False,,F000010,passenger
7593.337270162404,7788.337270162404,EVTOL_003,boarding,True,BW,F000011,passenger
7701.480448558675,7761.480448558675,EVTOL_004,landing,False,,F000010,passenger
7761.480448558675,7821.480448558675,EVTOL_004,disembarking,False,LYBV,F000010,passenger
7788.337270162404,7848.337270162404,EVTOL_003,departure_finalization,False,BW,F000011,passenger
7812.3373125306525,8007.3373125306525,EVTOL_001,boarding,True,LYBE,F000012,passenger
7821.480448558675,7887.480448558675,EVTOL_004,disembarking,True,LYBV,F000010,passenger
7848.337270162404,7888.337270162404,EVTOL_003,takeoff,False,,F000011,passenger
7887.480448558675,9938.022309284668,EVTOL_004,idle,True,LYBV,,
7888.337270162404,8113.173092162404,EVTOL_003,cruise,False,,F000011,passenger
8007.3373125306525,8067.3373125306525,EVTOL_001,departure_finalization,False,LYBE,F000012,passenger
8067.3373125306525,8107.3373125306525,EVTOL_001,takeoff,False,,F000012,passenger
8107.3373125306525,8435.137526530652,EVTOL_001,cruise,False,,F000012,passenger
8113.173092162404,8173.173092162404,EVTOL_003,landing,False,,F000011,passenger
8173.173092162404,8233.173092162404,EVTOL_003,disembarking,False,LYBE,F000011,passenger
8233.173092162404,8299.173092162404,EVTOL_003,disembarking,True,LYBE,F000011,passenger
8244.532563914503,8589.532563914503,EVTOL_002,boarding,True,DOR,F000013,passenger
8299.173092162404,8557.84450038748,EVTOL_003,idle,True,LYBE,,
8435.137526530652,8495.137526530652,EVTOL_001,landing,False,,F000012,passenger
8495.137526530652,8555.137526530652,EVTOL_001,disembarking,False,DOR,F000012,passenger
8555.137526530652,8621.137526530652,EVTOL_001,disembarking,True,DOR,F000012,passenger
8557.84450038748,8752.84450038748,EVTOL_003,boarding,True,LYBE,F000014,passenger
8589.532563914503,8649.532563914503,EVTOL_002,departure_finalization,False,DOR,F000013,passenger
8621.137526530652,8629.532563914503,EVTOL_001,idle,True,DOR,,
8629.532563914503,8689.532563914503,EVTOL_001,departure_finalization,False,DOR,F000015,repositioning
8649.532563914503,8689.532563914503,EVTOL_002,takeoff,False,,F000013,passenger
8689.532563914503,8729.532563914503,EVTOL_001,takeoff,False,,F000015,repositioning
8689.532563914503,9017.332777914504,EVTOL_002,cruise,False,,F000013,passenger
8729.532563914503,8780.009549914503,EVTOL_001,cruise,False,,F000015,repositioning
8752.84450038748,8812.84450038748,EVTOL_003,departure_finalization,False,LYBE,F000014,passenger
8780.009549914503,8840.009549914503,EVTOL_001,landing,False,,F000015,repositioning
8812.84450038748,8852.84450038748,EVTOL_003,takeoff,False,,F000014,passenger
8840.009549914503,8900.009549914503,EVTOL_001,idle,False,JUG,,
8852.84450038748,9170.64681238748,EVTOL_003,cruise,False,,F000014,passenger
8900.009549914503,9164.387477197839,EVTOL_001,idle,True,JUG,,
9017.332777914504,9077.332777914504,EVTOL_002,landing,False,,F000013,passenger
9077.332777914504,9137.332777914504,EVTOL_002,disembarking,False,LYBE,F000013,passenger
9137.332777914504,9335.332777914504,EVTOL_002,disembarking,True,LYBE,F000013,passenger
9164.387477197839,9359.387477197839,EVTOL_001,boarding,True,JUG,F000016,passenger
9170.64681238748,9230.64681238748,EVTOL_003,landing,False,,F000014,passenger
9230.64681238748,9290.64681238748,EVTOL_003,disembarking,False,JUG,F000014,passenger
9290.64681238748,9356.64681238748,EVTOL_003,disembarking,True,JUG,F000014,passenger
9335.332777914504,9422.0806069149,EVTOL_002,idle,True,LYBE,,
9356.64681238748,10166.833371314906,EVTOL_003,idle,True,JUG,,
9359.387477197839,9419.387477197839,EVTOL_001,departure_finalization,False,JUG,F000016,passenger
9419.387477197839,9459.387477197839,EVTOL_001,takeoff,False,,F000016,passenger
9422.0806069149,9692.0806069149,EVTOL_002,boarding,True,LYBE,F000017,passenger
9459.387477197839,9777.189789197839,EVTOL_001,cruise,False,,F000016,passenger
9692.0806069149,9777.189789197839,EVTOL_002,waiting_for_departure,True,LYBE,F000017,passenger
9777.189789197839,9837.189789197839,EVTOL_001,landing,False,,F000016,passenger
9777.189789197839,9837.189789197839,EVTOL_002,departure_finalization,False,LYBE,F000017,passenger
9837.189789197839,9897.189789197839,EVTOL_001,disembarking,False,LYBE,F000016,passenger
9837.189789197839,9877.189789197839,EVTOL_002,takeoff,False,,F000017,passenger
9877.189789197839,10102.025611197838,EVTOL_002,cruise,False,,F000017,passenger
9897.189789197839,9963.189789197839,EVTOL_001,disembarking,True,LYBE,F000016,passenger
9938.022309284668,10208.022309284668,EVTOL_004,boarding,True,LYBV,F000018,passenger
9963.189789197839,10714.555242255907,EVTOL_001,idle,True,LYBE,,
10102.025611197838,10162.025611197838,EVTOL_002,landing,False,,F000017,passenger
10162.025611197838,10222.025611197838,EVTOL_002,disembarking,False,BW,F000017,passenger
10166.833371314906,10226.833371314906,EVTOL_003,departure_finalization,False,JUG,F000019,repositioning
10208.022309284668,10268.022309284668,EVTOL_004,departure_finalization,False,LYBV,F000018,passenger
10222.025611197838,10354.025611197838,EVTOL_002,disembarking,True,BW,F000017,passenger
10226.833371314906,10266.833371314906,EVTOL_003,takeoff,False,,F000019,repositioning
10266.833371314906,10317.310357314906,EVTOL_003,cruise,False,,F000019,repositioning
10268.022309284668,10308.022309284668,EVTOL_004,takeoff,False,,F000018,passenger
10308.022309284668,10644.470497284668,EVTOL_004,cruise,False,,F000018,passenger
10317.310357314906,10377.310357314906,EVTOL_003,landing,False,,F000019,repositioning
10354.025611197838,11328.243821746415,EVTOL_002,idle,True,BW,,
10377.310357314906,10437.310357314906,EVTOL_003,idle,False,DOR,,
10437.310357314906,11066.833371314906,EVTOL_003,idle,True,DOR,,
10644.470497284668,10704.470497284668,EVTOL_004,landing,False,,F000018,passenger
10704.470497284668,10764.470497284668,EVTOL_004,disembarking,False,LYBE,F000018,passenger
10714.555242255907,10774.555242255907,EVTOL_001,departure_finalization,False,LYBE,F000020,repositioning
10764.470497284668,10896.470497284668,EVTOL_004,disembarking,True,LYBE,F000018,passenger
10774.555242255907,10814.555242255907,EVTOL_001,takeoff,False,,F000020,repositioning
10814.555242255907,10915.317640255907,EVTOL_001,cruise,False,,F000020,repositioning
10896.470497284668,11372.362580784695,EVTOL_004,idle,True,LYBE,,
10915.317640255907,10975.317640255907,EVTOL_001,landing,False,,F000020,repositioning
10975.317640255907,11035.317640255907,EVTOL_001,cleaning,False,EXPO,F000020,repositioning
11035.317640255907,11575.317640255907,EVTOL_001,cleaning,True,EXPO,F000020,repositioning
11066.833371314906,11411.833371314906,EVTOL_003,boarding,True,DOR,F000021,passenger
11328.243821746415,11523.243821746415,EVTOL_002,boarding,True,BW,F000022,passenger
11372.362580784695,11432.362580784695,EVTOL_004,departure_finalization,False,LYBE,F000023,repositioning
11411.833371314906,11471.833371314906,EVTOL_003,departure_finalization,False,DOR,F000021,passenger
11432.362580784695,11472.362580784695,EVTOL_004,takeoff,False,,F000023,repositioning
11471.833371314906,11511.833371314906,EVTOL_003,takeoff,False,,F000021,passenger
11472.362580784695,11790.164892784695,EVTOL_004,cruise,False,,F000023,repositioning
11511.833371314906,11839.633585314907,EVTOL_003,cruise,False,,F000021,passenger
11523.243821746415,11574.797763314906,EVTOL_002,waiting_for_departure,True,BW,F000022,passenger
11574.797763314906,11634.797763314906,EVTOL_002,departure_finalization,False,BW,F000022,passenger
11575.317640255907,11614.555242255907,EVTOL_001,idle,True,EXPO,,
11614.555242255907,11809.555242255907,EVTOL_001,boarding,True,EXPO,F000024,passenger
11634.797763314906,11674.797763314906,EVTOL_002,takeoff,False,,F000022,passenger
11674.797763314906,11899.633585314907,EVTOL_002,cruise,False,,F000022,passenger
11790.164892784695,11850.164892784695,EVTOL_004,landing,False,,F000023,repositioning
