snapshot_id,time_s,group_id,passenger_ids,origin,destination,aircraft_id,available_at_s,available_location,forecast_energy_kwh,status,reason,boarding_start_s,takeoff_s,repositioning,energy_ready_s,resource_constraints,constraint_vertiport,selected
1,-8589.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_001,-8589.685791410968,LYBE,142.0,feasible,,-7689.685791410968,-7434.685791410968,True,-8589.685791410968,,,False
1,-8589.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_002,-8589.685791410968,LYBE,142.0,feasible,,-7689.685791410968,-7434.685791410968,True,-8589.685791410968,,,False
1,-8589.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_003,-8589.685791410968,LYBE,142.0,feasible,,-7689.685791410968,-7434.685791410968,True,-8589.685791410968,,,False
1,-8589.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_004,-8589.685791410968,BW,142.0,feasible,,-7689.685791410968,-7434.685791410968,False,-8589.685791410968,,,True
2,-7689.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_001,-7689.685791410968,LYBE,142.0,feasible,,-7304.849969410968,-7049.849969410968,True,-7689.685791410968,,,False
2,-7689.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_002,-7689.685791410968,LYBE,142.0,feasible,,-7304.849969410968,-7049.849969410968,True,-7689.685791410968,,,False
2,-7689.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_003,-7689.685791410968,LYBE,142.0,feasible,,-7304.849969410968,-7049.849969410968,True,-7689.685791410968,,,False
2,-7689.685791410968,G:BW:LYBE:SYN2-193-D:P0001,SYN2-193-D:P0001,BW,LYBE,EVTOL_004,-7689.685791410968,BW,142.0,feasible,,-7689.685791410968,-7434.685791410968,False,-7689.685791410968,,,True
3,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_001,-7310.093753386209,LYBE,142.0,feasible,,-6410.093753386209,-6155.093753386209,True,-7310.093753386209,,,True
3,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_002,-7310.093753386209,LYBE,142.0,feasible,,-6410.093753386209,-6155.093753386209,True,-7310.093753386209,,,False
3,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_003,-7310.093753386209,LYBE,142.0,feasible,,-6410.093753386209,-6155.093753386209,True,-7310.093753386209,,,False
3,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_004,-6983.849969410968,LYBE,112.01972745369969,feasible,,-6410.093753386209,-6155.093753386209,True,-6983.849969410968,,,False
4,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_001,-6813.645565386209,LYBV,104.23559432777778,feasible,,-6410.093753386209,-6155.093753386209,False,-6813.645565386209,,,True
4,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_002,-7310.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
4,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_003,-7310.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
4,-7310.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_004,-6983.849969410968,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
5,-7250.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_001,-6813.645565386209,LYBV,104.23559432777778,feasible,,-6410.093753386209,-6155.093753386209,False,-6813.645565386209,,,True
5,-7250.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_002,-7250.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
5,-7250.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_003,-7250.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
5,-7250.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_004,-6983.849969410968,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
6,-7210.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_001,-6813.645565386209,LYBV,104.23559432777778,feasible,,-6410.093753386209,-6155.093753386209,False,-6813.645565386209,,,True
6,-7210.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_002,-7210.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
6,-7210.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_003,-7210.093753386209,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
6,-7210.093753386209,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_004,-6983.849969410968,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
7,-7169.849969410968,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_001,-6813.645565386209,LYBV,104.23559432777778,feasible,,-6410.093753386209,-6155.093753386209,False,-6813.645565386209,,,True
7,-7169.849969410968,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_002,-7169.849969410968,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
7,-7169.849969410968,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_003,-7169.849969410968,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
7,-7169.849969410968,G:LYBV:LYBE:SYN2-197-D:P0002,SYN2-197-D:P0002,LYBV,LYBE,EVTOL_004,-6983.849969410968,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
