stage,scope,causes,label,exposed_passengers,late_passengers_exposed,late_passengers_blocked_after_limit,fraction_of_late_passengers_exposed,observed_passenger_minutes,overdue_passenger_minutes,extra_after_boarding_passenger_minutes
after_boarding,committed_flight,battery_after_repositioning,Батерија после позиционог лета,52,36,0,0.5538461538461539,155.96100764122113,0.0,155.96100764122113
after_boarding,committed_flight,battery_at_origin,Батерија летелице на полазишту,6,5,0,0.07692307692307693,7.070923728720299,0.0,7.070923728720299
after_boarding,committed_flight,destination_tlof,Одредишни TLOF/FATO,4,0,0,0.0,3.3709713041105713,0.0,3.3709713041105713
after_boarding,committed_flight,origin_tlof,Полазни TLOF/FATO,19,3,0,0.046153846153846156,24.464103523461567,0.0,24.464103523461567
before_boarding,candidate_set,group_formation|priority_other_group,Правило формирања групе + Преддодела другој групи по редоследу диспечера,15,15,0,0.23076923076923078,109.55234611700617,0.0,0.0
before_boarding,candidate_set,priority_other_group,Преддодела другој групи по редоследу диспечера,9,9,8,0.13846153846153847,80.33883890191267,73.16851479066473,0.0
before_boarding,selected_plan,aircraft_busy,Летелица завршава претходни задатак,30,25,22,0.38461538461538464,482.3164149993343,348.65137975305754,0.0
before_boarding,selected_plan,aircraft_busy|group_formation,Летелица завршава претходни задатак + Правило формирања групе,101,53,0,0.8153846153846154,670.7061542077041,0.0,0.0
before_boarding,selected_plan,battery_before_repositioning,Батерија пре позиционог лета,21,21,18,0.3230769230769231,67.89601737983662,54.22167976393831,0.0
before_boarding,selected_plan,battery_before_repositioning|group_formation,Батерија пре позиционог лета + Правило формирања групе,30,18,0,0.27692307692307694,105.54119006951302,0.0,0.0
before_boarding,selected_plan,cleaning,Чишћење,17,13,11,0.2,107.76265957693394,81.95879275908518,0.0
before_boarding,selected_plan,cleaning|group_formation,Чишћење + Правило формирања групе,16,9,0,0.13846153846153847,91.33537300881386,0.0,0.0
before_boarding,selected_plan,departure_preparation,Обавезна завршна припрема,38,33,28,0.5076923076923077,35.26501198480158,26.259731207721536,0.0
before_boarding,selected_plan,departure_preparation|group_formation,Обавезна завршна припрема + Правило формирања групе,90,25,0,0.38461538461538464,88.74026879227841,0.0,0.0
before_boarding,selected_plan,destination_tlof,Одредишни TLOF/FATO,8,6,4,0.09230769230769231,6.62148004487317,2.721923251665309,0.0
before_boarding,selected_plan,destination_tlof|group_formation,Одредишни TLOF/FATO + Правило формирања групе,8,2,0,0.03076923076923077,6.294413109818198,0.0,0.0
before_boarding,selected_plan,group_formation,Правило формирања групе,147,2,0,0.03076923076923077,1136.5190849972262,0.0,0.0
before_boarding,selected_plan,group_formation|origin_tlof,Правило формирања групе + Полазни TLOF/FATO,12,3,0,0.046153846153846156,9.908317061944066,0.0,0.0
before_boarding,selected_plan,group_formation|repositioning_flight,Правило формирања групе + Долазак летелице позиционим летом,95,22,0,0.3384615384615385,436.1085005861176,0.0,0.0
before_boarding,selected_plan,origin_tlof,Полазни TLOF/FATO,1,1,1,0.015384615384615385,0.20605135455237664,0.20605135455237664,0.0
before_boarding,selected_plan,repositioning_flight,Долазак летелице позиционим летом,74,54,53,0.8307692307692308,322.186103891541,221.48584981092205,0.0
departure_preparation,committed_flight,departure_preparation,Обавезна завршна припрема,239,65,0,1.0,238.99999999999977,0.0,0.0
