start_s,end_s,passenger_id,group_id,aircraft_id,origin,destination,stage,scope,causes,constraint_locations,aircraft_activity,duration_min,overdue_min,extra_after_boarding_min,start_local,end_local
-8589.685791410968,-7689.685791410968,SYN2-193-D:P0001,G:BW:LYBE:SYN2-193-D:P0001,EVTOL_004,BW,LYBE,before_boarding,selected_plan,group_formation,group_formation@BW,idle,15.0,0.0,0.0,2026-07-30T21:36:50.314209+02:00,2026-07-30T21:51:50.314209+02:00
-7494.685791410968,-7434.685791410968,SYN2-193-D:P0001,G:BW:LYBE:SYN2-193-D:P0001,EVTOL_004,BW,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@BW,departure_finalization,1.0,0.0,0.0,2026-07-30T21:55:05.314209+02:00,2026-07-30T21:56:05.314209+02:00
-7310.093753386209,-7250.093753386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@LYBV,departure_finalization,1.0,0.0,0.0,2026-07-30T21:58:09.906247+02:00,2026-07-30T21:59:09.906247+02:00
-7250.093753386209,-7210.093753386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T21:59:09.906247+02:00,2026-07-30T21:59:49.906247+02:00
-7210.093753386209,-6873.645565386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,cruise,5.607469800000005,0.0,0.0,2026-07-30T21:59:49.906247+02:00,2026-07-30T22:05:26.354435+02:00
-6873.645565386209,-6813.645565386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,landing,1.0,0.0,0.0,2026-07-30T22:05:26.354435+02:00,2026-07-30T22:06:26.354435+02:00
-6813.645565386209,-6410.093753386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,before_boarding,selected_plan,group_formation,group_formation@LYBV,idle,6.725863533333328,0.0,0.0,2026-07-30T22:06:26.354435+02:00,2026-07-30T22:13:09.906247+02:00
-6215.093753386209,-6155.093753386209,SYN2-197-D:P0002,G:LYBV:LYBE:SYN2-197-D:P0002,EVTOL_001,LYBV,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@LYBV,departure_finalization,1.0,0.0,0.0,2026-07-30T22:16:24.906247+02:00,2026-07-30T22:17:24.906247+02:00
-4129.214763538449,-4069.214763538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@JUG,departure_finalization,1.0,0.0,0.0,2026-07-30T22:51:10.785236+02:00,2026-07-30T22:52:10.785236+02:00
-4069.214763538449,-4029.214763538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@JUG|repositioning_flight@JUG,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T22:52:10.785236+02:00,2026-07-30T22:52:50.785236+02:00
-4029.214763538449,-3711.412451538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@JUG|repositioning_flight@JUG,cruise,5.296705199999996,0.0,0.0,2026-07-30T22:52:50.785236+02:00,2026-07-30T22:58:08.587548+02:00
-3711.412451538449,-3651.412451538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@JUG|repositioning_flight@JUG,landing,1.0,0.0,0.0,2026-07-30T22:58:08.587548+02:00,2026-07-30T22:59:08.587548+02:00
-3651.412451538449,-3229.214763538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,before_boarding,selected_plan,group_formation,group_formation@JUG,idle,7.036628133333337,0.0,0.0,2026-07-30T22:59:08.587548+02:00,2026-07-30T23:06:10.785236+02:00
-3034.214763538449,-2974.214763538449,SYN2-197-D:P0001,G:JUG:LYBE:SYN2-197-D:P0001,EVTOL_001,JUG,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@JUG,departure_finalization,1.0,0.0,0.0,2026-07-30T23:09:25.785236+02:00,2026-07-30T23:10:25.785236+02:00
2943.008824710608,3843.008824710608,SYN2-001-A:P0002,G:LYBE:BW:SYN2-001-A:P0002,EVTOL_001,LYBE,BW,before_boarding,selected_plan,group_formation,group_formation@LYBE,idle,15.0,0.0,0.0,2026-07-31T00:49:03.008825+02:00,2026-07-31T01:04:03.008825+02:00
4038.0088247106087,4098.008824710609,SYN2-001-A:P0002,G:LYBE:BW:SYN2-001-A:P0002,EVTOL_001,LYBE,BW,departure_preparation,committed_flight,departure_preparation,departure_preparation@LYBE,departure_finalization,1.0,0.0,0.0,2026-07-31T01:07:18.008825+02:00,2026-07-31T01:08:18.008825+02:00
4074.571455082855,4974.571455082855,SYN2-001-A:P0001,G:LYBE:DOR:SYN2-001-A:P0001,EVTOL_002,LYBE,DOR,before_boarding,selected_plan,group_formation,group_formation@LYBE,idle,15.0,0.0,0.0,2026-07-31T01:07:54.571455+02:00,2026-07-31T01:22:54.571455+02:00
5169.571455082855,5229.571455082855,SYN2-001-A:P0001,G:LYBE:DOR:SYN2-001-A:P0001,EVTOL_002,LYBE,DOR,departure_preparation,committed_flight,departure_preparation,departure_preparation@LYBE,departure_finalization,1.0,0.0,0.0,2026-07-31T01:26:09.571455+02:00,2026-07-31T01:27:09.571455+02:00
5755.868405199968,6655.868405199968,SYN2-002-A:P0001,G:LYBE:BW:SYN2-002-A:P0001,EVTOL_003,LYBE,BW,before_boarding,selected_plan,group_formation,group_formation@LYBE,idle,15.0,0.0,0.0,2026-07-31T01:35:55.868405+02:00,2026-07-31T01:50:55.868405+02:00
6170.032260558674,7070.032260558674,SYN2-003-A:P0001,G:LYBE:LYBV:SYN2-003-A:P0001,EVTOL_004,LYBE,LYBV,before_boarding,selected_plan,group_formation,group_formation@LYBE,idle,15.0,0.0,0.0,2026-07-31T01:42:50.032261+02:00,2026-07-31T01:57:50.032261+02:00
6693.337270162404,6912.3373125306525,SYN2-345-D:P0002,G:BW:LYBE:SYN2-345-D:P0002,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation,group_formation@BW,idle,3.650000706137477,0.0,0.0,2026-07-31T01:51:33.337270+02:00,2026-07-31T01:55:12.337313+02:00
6850.868405199968,6910.868405199968,SYN2-002-A:P0001,G:LYBE:BW:SYN2-002-A:P0001,EVTOL_003,LYBE,BW,departure_preparation,committed_flight,departure_preparation,departure_preparation@LYBE,departure_finalization,1.0,0.0,0.0,2026-07-31T01:54:10.868405+02:00,2026-07-31T01:55:10.868405+02:00
