flight_id,aircraft_id,operation,origin,destination,passenger_count,passenger_ids,takeoff_start_s,landing_end_s,duration_min,distance_km,departure_energy_kwh,landing_energy_kwh,planned_energy_kwh,departure_soc,landing_soc,boarding_end_s,energy_ready_s,required_departure_energy_kwh,energy_context
F000001,EVTOL_004,passenger,BW,LYBE,1,SYN2-193-D:P0001,-7434.685791410968,-7109.849969410968,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,-7494.685791410968,-7689.685791410968,64.20853386194445,battery_at_origin
F000002,EVTOL_001,repositioning,LYBE,LYBV,0,,-7250.093753386209,-6813.645565386209,7.274136466666667,19.691566,142.0,104.23559432777778,37.764405672222225,1.0,0.7340534811815337,,-7310.093753386209,71.54084623944445,battery_at_origin
F000003,EVTOL_001,passenger,LYBV,LYBE,1,SYN2-197-D:P0002,-6155.093753386209,-5718.645565386209,7.274136466666667,19.691566,114.51992577854519,76.75552010632298,37.764405672222225,0.8064783505531351,0.5405318317346689,-6215.093753386209,-6410.093753386209,71.54084623944445,battery_after_repositioning
F000004,EVTOL_001,repositioning,LYBE,JUG,0,,-4069.214763538449,-3651.412451538449,6.963371866666667,18.655684,119.27393337920427,82.62310085698205,36.650832522222224,0.8399572773183399,0.5818528229364933,,-4129.214763538449,70.31591577444445,battery_at_origin
F000005,EVTOL_001,passenger,JUG,LYBE,1,SYN2-197-D:P0001,-2974.214763538449,-2556.412451538449,6.963371866666667,18.655684,105.00022492109558,68.34939239887336,36.650832522222224,0.7394382036696872,0.48133374928784056,-3034.214763538449,-3229.214763538449,70.31591577444445,battery_after_repositioning
F000006,EVTOL_001,passenger,LYBE,BW,1,SYN2-001-A:P0002,4098.008824710609,4422.844646710609,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,4038.008824710608,3843.008824710608,64.20853386194445,battery_at_origin
F000007,EVTOL_002,passenger,LYBE,DOR,1,SYN2-001-A:P0001,5229.571455082855,5657.371669082855,7.130003566666668,19.211123,142.0,104.75207055277777,37.247929447222226,1.0,0.737690637695618,5169.571455082855,4974.571455082855,70.97272239194444,battery_at_origin
F000008,EVTOL_003,passenger,LYBE,BW,1,SYN2-002-A:P0001,6910.868405199968,7235.704227199968,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,6850.868405199968,6655.868405199968,64.20853386194445,battery_at_origin
F000009,EVTOL_001,repositioning,BW,LYBE,0,,6972.3373125306525,7297.1731345306525,5.4139303666666665,13.490879,136.53225279106235,105.43358564384013,31.098667147222223,0.9614947379652278,0.742490039745353,,6912.3373125306525,64.20853386194445,battery_at_origin
F000010,EVTOL_004,passenger,LYBE,LYBV,1,SYN2-003-A:P0001,7325.032260558674,7761.480448558675,7.274136466666667,19.691566,142.0,104.23559432777778,37.764405672222225,1.0,0.7340534811815337,7265.032260558674,7070.032260558674,71.54084623944445,battery_at_origin
F000011,EVTOL_003,passenger,BW,LYBE,1,SYN2-345-D:P0002,7848.337270162404,8173.173092162404,5.4139303666666665,13.490879,117.8578169665729,86.75914981935068,31.098667147222223,0.8299846265251613,0.6109799283052865,7788.337270162404,7593.337270162404,64.20853386194445,battery_at_origin
F000012,EVTOL_001,passenger,LYBE,DOR,1,SYN2-003-A:P0002,8067.3373125306525,8495.137526530652,7.130003566666668,19.211123,116.60827806820814,79.36034862098592,37.247929447222226,0.8211850568183672,0.5588756945139853,8007.3373125306525,7812.3373125306525,70.97272239194444,battery_after_repositioning
F000013,EVTOL_002,passenger,DOR,LYBE,3,SYN2-199-D:P0001|SYN2-344-D:P0001|SYN2-345-D:P0001,8649.532563914503,9077.332777914504,7.130003566666668,19.211123,137.66203720141277,100.41410775419055,37.247929447222226,0.9694509662071322,0.7071416039027504,8589.532563914503,8244.532563914503,70.97272239194444,battery_at_origin
F000014,EVTOL_003,passenger,LYBE,JUG,1,SYN2-005-A:P0001,8812.84450038748,9230.64681238748,6.963371866666667,18.655684,105.95167666324348,69.30084414102126,36.650832522222224,0.7461385680510104,0.48803411366916377,8752.84450038748,8557.84450038748,70.31591577444445,battery_at_origin
F000015,EVTOL_001,repositioning,DOR,JUG,0,,8689.532563914503,8840.009549914503,2.507949766666667,3.804277,83.80628325217683,63.12071325495461,20.685569997222224,0.5901850933251889,0.44451206517573666,,8629.532563914503,52.75412699694445,battery_at_origin
F000016,EVTOL_001,passenger,JUG,LYBE,1,SYN2-198-D:P0001,9419.387477197839,9837.189789197839,6.963371866666667,18.655684,91.83292518753777,55.18209266531555,36.650832522222224,0.6467107407573083,0.38860628637546163,9359.387477197839,9164.387477197839,70.31591577444445,battery_after_repositioning
F000017,EVTOL_002,passenger,LYBE,BW,2,SYN2-006-A:P0001|SYN2-005-A:P0002,9837.189789197839,10162.025611197838,5.4139303666666665,13.490879,114.16224487575613,83.06357772853391,31.098667147222223,0.803959470956029,0.5849547727361544,9692.0806069149,9422.0806069149,64.20853386194445,battery_at_origin
F000018,EVTOL_004,passenger,LYBV,LYBE,2,SYN2-198-D:P0002|SYN2-207-D:P0002,10268.022309284668,10704.470497284668,7.274136466666667,19.691566,133.9468055021414,96.18239982991916,37.764405672222225,0.9432873626911366,0.6773408438726701,10208.022309284668,9938.022309284668,71.54084623944445,battery_at_origin
F000019,EVTOL_003,repositioning,JUG,DOR,0,,10226.833371314906,10377.310357314906,2.507949766666667,3.804277,107.914701256096,87.22913125887378,20.685569997222224,0.7599626849020845,0.6142896567526323,,10166.833371314906,52.75412699694445,battery_at_origin
F000020,EVTOL_001,repositioning,LYBE,EXPO,0,,10774.555242255907,10975.317640255907,3.3460399666666665,6.597911,101.37798449546219,77.68925794823997,23.688726547222224,0.7139294682779027,0.5471074503397181,,10714.555242255907,56.05759920194445,battery_at_origin
F000021,EVTOL_003,passenger,DOR,LYBE,3,SYN2-348-D:P0001|SYN2-200-D:P0001|SYN2-199-D:P0002,11471.833371314906,11899.633585314907,7.130003566666668,19.211123,114.39922437017985,77.15129492295763,37.247929447222226,0.8056283406350694,0.5433189783306875,11411.833371314906,11066.833371314906,70.97272239194444,battery_after_repositioning
