id,airline_flight_id,origin,destination,request_time_s,latest_desired_takeoff_s,latest_terminal_arrival_s,terminal_access_duration_s,status,group_id,flight_id,boarding_start_s,takeoff_start_s,landing_end_s,disembarking_end_s,terminal_arrival_s,journey_end_s,boarding_end_s,waiting_time_min,within_wait_limit,wait_exceedance_min,request_to_takeoff_min,extra_after_boarding_min,journey_duration_min,terminal_target_lateness_min,wait_constraints,request_time_local,boarding_start_local,boarding_end_local,takeoff_start_local,landing_end_local,journey_end_local,terminal_arrival_local
SYN2-193-D:P0001,SYN2-193-D,BW,LYBE,-8589.685791410968,-7209.685791410967,-5873.583578934136,687.2663904768308,completed,G:BW:LYBE:SYN2-193-D:P0001,F000001,-7689.685791410968,-7434.685791410968,-7109.849969410968,-6983.849969410968,-6296.583578934137,-6296.583578934137,-7494.685791410968,15.0,True,0.0,19.25,0.0,38.218370207947174,0.0,group_formation,2026-07-30T21:36:50.314209+02:00,2026-07-30T21:51:50.314209+02:00,2026-07-30T21:55:05.314209+02:00,2026-07-30T21:56:05.314209+02:00,2026-07-30T22:01:30.150031+02:00,2026-07-30T22:15:03.416421+02:00,2026-07-30T22:15:03.416421+02:00
SYN2-197-D:P0002,SYN2-197-D,LYBV,LYBE,-7310.093753386209,-5930.093753386209,-4509.774395596523,659.871169789685,completed,G:LYBV:LYBE:SYN2-197-D:P0002,F000003,-6410.093753386209,-6155.093753386209,-5718.645565386209,-5592.645565386209,-4932.774395596523,-4932.774395596523,-6215.093753386209,15.0,True,0.0,19.25,0.0,39.62198929649476,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T21:58:09.906247+02:00,2026-07-30T22:13:09.906247+02:00,2026-07-30T22:16:24.906247+02:00,2026-07-30T22:17:24.906247+02:00,2026-07-30T22:24:41.354435+02:00,2026-07-30T22:37:47.225604+02:00,2026-07-30T22:37:47.225604+02:00
SYN2-197-D:P0001,SYN2-197-D,JUG,LYBE,-4129.214763538449,-2749.214763538449,-1442.8316274976396,564.5808240408093,completed,G:JUG:LYBE:SYN2-197-D:P0001,F000005,-3229.214763538449,-2974.214763538449,-2556.412451538449,-2430.412451538449,-1865.83162749764,-1865.83162749764,-3034.214763538449,15.0,True,0.0,19.25,0.0,37.723052267346816,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T22:51:10.785236+02:00,2026-07-30T23:06:10.785236+02:00,2026-07-30T23:09:25.785236+02:00,2026-07-30T23:10:25.785236+02:00,2026-07-30T23:17:23.587548+02:00,2026-07-30T23:28:54.168373+02:00,2026-07-30T23:28:54.168373+02:00
SYN2-001-A:P0002,SYN2-001-A,LYBE,BW,2943.008824710608,,,650.5927167517547,completed,G:LYBE:BW:SYN2-001-A:P0002,F000006,3843.008824710608,4098.008824710609,4422.844646710609,4548.844646710609,,4548.844646710609,4038.008824710608,15.0,True,0.0,19.250000000000007,7.579122514774402e-15,26.763930366666674,,group_formation,2026-07-31T00:49:03.008825+02:00,2026-07-31T01:04:03.008825+02:00,2026-07-31T01:07:18.008825+02:00,2026-07-31T01:08:18.008825+02:00,2026-07-31T01:13:42.844647+02:00,2026-07-31T01:15:48.844647+02:00,
SYN2-001-A:P0001,SYN2-001-A,LYBE,DOR,4074.571455082855,,,658.9042027209447,completed,G:LYBE:DOR:SYN2-001-A:P0001,F000007,4974.571455082855,5229.571455082855,5657.371669082855,5783.371669082855,,5783.371669082855,5169.571455082855,15.0,True,0.0,19.25,0.0,28.480003566666664,,group_formation,2026-07-31T01:07:54.571455+02:00,2026-07-31T01:22:54.571455+02:00,2026-07-31T01:26:09.571455+02:00,2026-07-31T01:27:09.571455+02:00,2026-07-31T01:34:17.371669+02:00,2026-07-31T01:36:23.371669+02:00,
SYN2-002-A:P0001,SYN2-002-A,LYBE,BW,5755.868405199968,,,619.0867264920442,completed,G:LYBE:BW:SYN2-002-A:P0001,F000008,6655.868405199968,6910.868405199968,7235.704227199968,7361.704227199968,,7361.704227199968,6850.868405199968,15.0,True,0.0,19.25,0.0,26.763930366666667,,group_formation,2026-07-31T01:35:55.868405+02:00,2026-07-31T01:50:55.868405+02:00,2026-07-31T01:54:10.868405+02:00,2026-07-31T01:55:10.868405+02:00,2026-07-31T02:00:35.704227+02:00,2026-07-31T02:02:41.704227+02:00,
SYN2-003-A:P0001,SYN2-003-A,LYBE,LYBV,6170.032260558674,,,591.3857490469112,completed,G:LYBE:LYBV:SYN2-003-A:P0001,F000010,7070.032260558674,7325.032260558674,7761.480448558675,7887.480448558675,,7887.480448558675,7265.032260558674,15.0,True,0.0,19.25,0.0,28.624136466666673,,group_formation,2026-07-31T01:42:50.032261+02:00,2026-07-31T01:57:50.032261+02:00,2026-07-31T02:01:05.032261+02:00,2026-07-31T02:02:05.032261+02:00,2026-07-31T02:09:21.480449+02:00,2026-07-31T02:11:27.480449+02:00,
SYN2-345-D:P0002,SYN2-345-D,BW,LYBE,6693.337270162404,8073.337270162404,9302.146865289134,579.9737731267314,completed,G:BW:LYBE:SYN2-345-D:P0002,F000011,7593.337270162404,7848.337270162404,8173.173092162404,8299.173092162404,8879.146865289134,8879.146865289134,7788.337270162404,15.0,True,0.0,19.25,0.0,36.43015991877884,0.0,aircraft_busy|group_formation,2026-07-31T01:51:33.337270+02:00,2026-07-31T02:06:33.337270+02:00,2026-07-31T02:09:48.337270+02:00,2026-07-31T02:10:48.337270+02:00,2026-07-31T02:16:13.173092+02:00,2026-07-31T02:27:59.146865+02:00,2026-07-31T02:27:59.146865+02:00
SYN2-003-A:P0002,SYN2-003-A,LYBE,DOR,6912.3373125306525,,,624.0091968671612,completed,G:LYBE:DOR:SYN2-003-A:P0002,F000012,7812.3373125306525,8067.3373125306525,8495.137526530652,8621.137526530652,,8621.137526530652,8007.3373125306525,15.0,True,0.0,19.25,0.0,28.480003566666664,,departure_preparation|group_formation|repositioning_flight,2026-07-31T01:55:12.337313+02:00,2026-07-31T02:10:12.337313+02:00,2026-07-31T02:13:27.337313+02:00,2026-07-31T02:14:27.337313+02:00,2026-07-31T02:21:35.137527+02:00,2026-07-31T02:23:41.137527+02:00,
SYN2-199-D:P0001,SYN2-199-D,DOR,LYBE,7344.532563914503,8724.532563914503,10102.659482923638,626.3267050091343,completed,G:DOR:LYBE:SYN2-199-D:P0001,F000013,8244.532563914503,8649.532563914503,9077.332777914504,9335.332777914504,9961.659482923638,9961.659482923638,8589.532563914503,15.0,True,0.0,21.75,0.0,43.61878198348559,0.0,group_formation,2026-07-31T02:02:24.532564+02:00,2026-07-31T02:17:24.532564+02:00,2026-07-31T02:23:09.532564+02:00,2026-07-31T02:24:09.532564+02:00,2026-07-31T02:31:17.332778+02:00,2026-07-31T02:46:01.659483+02:00,2026-07-31T02:46:01.659483+02:00
