start_s,end_s,vertiport,waiting_passengers
-8589.685791410968,2943.008824710608,LYBE,0
-8589.685791410968,4038.008824710608,EXPO,0
-8589.685791410968,-7689.685791410968,BW,1
-8589.685791410968,-4129.214763538449,JUG,0
-8589.685791410968,4038.008824710608,DOR,0
-8589.685791410968,-7310.093753386209,LYBV,0
-7689.685791410968,4038.008824710608,BW,0
-7310.093753386209,-6410.093753386209,LYBV,1
-6410.093753386209,4038.008824710608,LYBV,0
-4129.214763538449,-3229.214763538449,JUG,1
-3229.214763538449,4038.008824710608,JUG,0
2943.008824710608,3843.008824710608,LYBE,1
3843.008824710608,4038.008824710608,LYBE,0
4038.0088247106087,4074.571455082855,LYBE,0
4038.0088247106087,10714.555242255907,EXPO,0
4038.0088247106087,6693.337270162404,BW,0
4038.0088247106087,8264.387477197839,JUG,0
4038.0088247106087,7344.532563914503,DOR,0
4038.0088247106087,9038.022309284668,LYBV,0
4074.571455082855,4974.571455082855,LYBE,1
4974.571455082855,5755.868405199968,LYBE,0
5755.868405199968,6170.032260558674,LYBE,1
6170.032260558674,6655.868405199968,LYBE,2
6655.868405199968,6912.3373125306525,LYBE,1
6693.337270162404,7593.337270162404,BW,1
6912.3373125306525,7070.032260558674,LYBE,2
7070.032260558674,7657.8445003874795,LYBE,1
7344.532563914503,8142.551607459009,DOR,1
7593.337270162404,10428.243821746415,BW,0
7657.8445003874795,7812.3373125306525,LYBE,2
7812.3373125306525,8522.0806069149,LYBE,1
8142.551607459009,8154.768293796771,DOR,2
8154.768293796771,8244.532563914503,DOR,3
8244.532563914503,10166.833371314906,DOR,0
8264.387477197839,9164.387477197839,JUG,1
8522.0806069149,8557.84450038748,LYBE,2
8557.84450038748,9065.005922843404,LYBE,1
9038.022309284668,9582.420207753525,LYBV,1
9065.005922843404,9422.0806069149,LYBE,2
9164.387477197839,11372.362580784695,JUG,0
9422.0806069149,13921.729954668925,LYBE,0
9582.420207753525,9938.022309284668,LYBV,2
9938.022309284668,11620.437447901018,LYBV,0
10166.833371314906,10340.59644394764,DOR,1
10340.59644394764,10960.21688734553,DOR,2
10428.243821746415,11328.243821746415,BW,1
10714.555242255907,11614.555242255907,EXPO,1
10960.21688734553,11066.833371314906,DOR,3
11066.833371314906,11614.437021647565,DOR,0
11328.243821746415,12021.914256800188,BW,0
11372.362580784695,11950.390967231511,JUG,1
11614.437021647565,12305.544666783264,DOR,1
11614.555242255907,13921.729954668925,EXPO,0
11620.437447901018,12137.121267183806,LYBV,1
11950.390967231511,12268.289390718215,JUG,2
12021.914256800188,12921.914256800188,BW,1
12137.121267183806,12507.223340565497,LYBV,2
12268.289390718215,12272.362580784695,JUG,3
12272.362580784695,12857.994484698012,JUG,0
12305.544666783264,12573.433799314907,DOR,2
12507.223340565497,12654.081773314907,LYBV,3
12573.433799314907,13921.729954668925,DOR,0
12654.081773314907,13474.605790190613,LYBV,0
12857.994484698012,13921.729954668925,JUG,1
12921.914256800188,13238.36235604608,BW,0
13238.36235604608,13626.884152173992,BW,1
13474.605790190613,13919.981922747751,LYBV,1
13626.884152173992,13921.729954668925,BW,2
13919.981922747751,13921.729954668925,LYBV,2
13921.729954668926,19431.54454650155,LYBE,0
13921.729954668926,32210.148297975,EXPO,0
13921.729954668926,14024.337826389452,BW,2
13921.729954668926,13973.332273314907,JUG,1
13921.729954668926,14483.021399658415,DOR,0
13921.729954668926,14418.178142668925,LYBV,2
13973.332273314907,15350.759903847029,JUG,0
14024.337826389452,14138.36235604608,BW,3
14138.36235604608,15450.931122238002,BW,0
14418.178142668925,14961.405699926736,LYBV,0
14483.021399658415,15383.021399658415,DOR,1
14961.405699926736,15094.870004625744,LYBV,1
15094.870004625744,15269.98775525183,LYBV,2
15269.98775525183,15861.405699926736,LYBV,3
15350.759903847029,16503.184613376703,JUG,1
15383.021399658415,26557.110206249403,DOR,0
15450.931122238002,15826.654859741007,BW,1
15826.654859741007,15951.502006898609,BW,2
15861.405699926736,26428.639534150047,LYBV,0
15951.502006898609,15972.345690605773,BW,3
15972.345690605773,18370.99333536592,BW,0
16503.184613376703,21320.631268992245,JUG,0
18370.99333536592,19270.99333536592,BW,1
19270.99333536592,19782.79911142926,BW,0
19431.54454650155,20331.54454650155,LYBE,1
19782.79911142926,20682.79911142926,BW,1
20331.54454650155,20417.213126561765,LYBE,0
20417.213126561765,20902.072848999345,LYBE,1
20682.79911142926,23594.117520299464,BW,0
20902.072848999345,21002.348912225567,LYBE,2
21002.348912225567,21136.741452542094,LYBE,3
21136.741452542094,21317.213126561765,LYBE,4
21317.213126561765,21802.072848999345,LYBE,3
21320.631268992245,21710.590117559954,JUG,1
21710.590117559954,22220.631268992245,JUG,2
21802.072848999345,22036.741452542094,LYBE,1
22036.741452542094,23628.75505051638,LYBE,0
22220.631268992245,29506.335018842095,JUG,0
23594.117520299464,23604.151459232893,BW,1
23604.151459232893,24494.117520299464,BW,2
23628.75505051638,24528.75505051638,LYBE,1
24494.117520299464,25633.206098884217,BW,0
24528.75505051638,31972.000505572963,LYBE,0
25633.206098884217,26533.206098884217,BW,1
26428.639534150047,27328.639534150047,LYBV,1
26533.206098884217,27324.995221116224,BW,0
26557.110206249403,27812.795435116223,DOR,1
27324.995221116224,27468.985653772204,BW,1
27328.639534150047,37207.24809753941,LYBV,0
27468.985653772204,28224.995221116224,BW,2
27812.795435116223,30522.154594672364,DOR,0
28224.995221116224,33441.21319267613,BW,0
29506.335018842095,30406.335018842095,JUG,1
30406.335018842095,36795.9140135983,JUG,0
30522.154594672364,31422.154594672364,DOR,1
31422.154594672364,33088.777022947965,DOR,0
31972.000505572963,32031.03106731104,LYBE,1
32031.03106731104,32216.90298943206,LYBE,2
32210.148297975,33110.148297975,EXPO,1
32216.90298943206,32374.98282377517,LYBE,3
32374.98282377517,32546.581703424687,LYBE,4
32546.581703424687,32872.00050557296,LYBE,5
32872.00050557296,33116.902989432056,LYBE,3
33088.777022947965,33310.11919589054,DOR,1
33110.148297975,39216.59859156666,EXPO,0
33116.902989432056,33274.98282377517,LYBE,1
33274.98282377517,33354.50623716579,LYBE,0
33310.11919589054,34787.02545157297,DOR,2
33354.50623716579,33462.15207426216,LYBE,1
33441.21319267613,34100.70696096062,BW,1
33462.15207426216,34089.15594322345,LYBE,2
34089.15594322345,34254.50623716579,LYBE,3
34100.70696096062,34832.022751683435,BW,2
34254.50623716579,34362.15207426216,LYBE,2
34362.15207426216,34989.15594322345,LYBE,1
34787.02545157297,35523.817762518636,DOR,0
34832.022751683435,35038.351141975,BW,3
34989.15594322345,35085.19806199504,LYBE,0
35038.351141975,37617.27118187957,BW,0
35085.19806199504,35985.19806199504,LYBE,1
35523.817762518636,36005.6503103007,DOR,1
35985.19806199504,39113.20831860505,LYBE,0
36005.6503103007,36423.817762518636,DOR,2
36423.817762518636,37210.3353883367,DOR,0
36795.9140135983,37695.9140135983,JUG,1
37207.24809753941,38190.25215530609,LYBV,1
37210.3353883367,38110.3353883367,DOR,1
37617.27118187957,38517.27118187957,BW,1
37695.9140135983,43809.13701839535,JUG,0
38110.3353883367,49893.98572454773,DOR,0
38190.25215530609,38470.06616451864,LYBV,2
38470.06616451864,38969.37502864837,LYBV,0
38517.27118187957,39585.549908335284,BW,0
38969.37502864837,39784.121934181836,LYBV,1
39113.20831860505,39304.4148873833,LYBE,1
39216.59859156666,39818.29759372917,EXPO,1
39304.4148873833,39308.35180913415,LYBE,2
39308.35180913415,39452.639627774035,LYBE,3
39452.639627774035,39599.073122443195,LYBE,4
39585.549908335284,40730.614492476954,BW,1
39599.073122443195,39776.35407061154,LYBE,5
39776.35407061154,39860.3869302283,LYBE,6
39784.121934181836,39869.37502864837,LYBV,2
39818.29759372917,40116.59859156666,EXPO,2
39860.3869302283,40119.2559614849,LYBE,3
39869.37502864837,42694.94395632018,LYBV,0
40116.59859156666,49893.98572454773,EXPO,0
40119.2559614849,40208.35180913415,LYBE,4
40208.35180913415,40236.99661748845,LYBE,2
