origin,destination,generated_passengers,boarded_passengers,completed_journeys,on_time_passengers,fraction_boarding_within_wait_limit,wait_to_boarding_min_mean,wait_to_boarding_min_p95,wait_to_boarding_min_max,extra_after_boarding_min_mean,extra_after_boarding_min_p95,extra_after_boarding_min_max,journey_duration_min_mean,journey_duration_min_p95,journey_duration_min_max
BW,LYBE,39,39,39,29,0.7435897435897436,18.98792026196176,61.49570748301619,96.2279811717673,0.325934769872696,1.2111390817118703,2.123950612674768,44.420796863320845,91.40900397968619,123.50815734171786
DOR,LYBE,21,21,21,15,0.7142857142857143,14.730339572779936,28.304140477083397,42.97871834506259,0.633884007098479,3.0742680078902294,6.0273176549382095,41.29182305365764,54.33794570243541,67.9228476867549
EXPO,LYBE,5,5,5,4,0.8,15.569308972249855,25.299889251166213,27.874861563957772,0.32308151387808415,0.8077037846952104,0.8077037846952104,36.844310464503465,46.498856490740266,48.5576615513443
JUG,LYBE,19,19,19,13,0.6842105263157895,18.962051001501006,54.68720387374569,55.69892524722721,0.5935731325504222,1.9388974937725498,5.894629449382713,44.430404906847926,78.26977181396262,84.18238774603499
LYBE,BW,50,50,50,39,0.78,12.668162381231697,24.335398911982818,29.889390521531702,0.6526998359601167,3.3155584410582857,4.537433468827173,28.656792583858454,41.895011112864644,47.41413580980322
LYBE,DOR,22,22,22,16,0.7272727272727273,15.664244676947993,21.54156425210322,28.790360311582237,1.2907748381920487,5.656259035197775,6.163967928271692,32.57138671817038,42.95613092313963,49.32036387824895
LYBE,EXPO,5,5,5,3,0.6,17.53724713077022,33.48188625487397,36.122426198282724,0.0,0.0,0.0,30.05328709743689,44.11792622154062,45.81846616494938
LYBE,JUG,26,26,26,17,0.6538461538461539,14.548374701456073,24.197467066856277,25.25796093189395,1.0630943134592412,5.987165538966019,6.0180109021605555,30.913302420043514,40.846122598633215,44.46596224794339
LYBE,LYBV,24,24,24,18,0.75,13.794485134166221,22.695187768267346,24.08031052332784,0.8666426852805469,3.092387612088108,6.142716132413503,30.439430952780086,41.77550689893076,44.75444698999442
LYBV,LYBE,28,28,28,20,0.7142857142857143,17.652627424407612,46.1845728266242,75.25760813988515,1.5170990750234923,4.892716132413625,5.384973469505227,45.34662115355889,77.63225271835006,106.70208695481742
